sn,ts,gx,gy,gz,ax,ay,az,mx,my,mz,dt,mbx,mby,mbz
1453,301770572339755,-0.0018411479,-0.0014666840,0.0003726287,-0.0574625954,0.1867534369,9.8907489777,46.3799972534,-1.7399978638,-106.5599975586,0.0200284328,23.5799999237,-108.4199981689,443.2799987793
1454,301770592368188,-0.0012302822,-0.0014666840,0.0003726287,-0.0383083969,0.1795706153,9.8787775040,46.0799942017,-1.1399993896,-106.5599975586,0.0200284328,23.5799999237,-108.4199981689,443.2799987793
1455,301770612396621,-0.0000085519,-0.0026884228,0.0003726287,-0.0383083969,0.1699935049,9.8763837814,45.8999938965,-0.9000015259,-106.3800048828,0.0200284328,23.5799999237,-108.4199981689,443.2799987793
1456,301770632425054,-0.0000085519,0.0015876442,-0.0014599673,0.0023942748,0.1675992310,9.8883552551,45.8999938965,-0.9000015259,-106.3800048828,0.0200284328,23.5799999237,-108.4199981689,443.2799987793
1457,301770652453487,0.0018240439,0.0015876442,-0.0002382370,-0.0215484723,0.1771763414,9.8835668564,45.8399963379,-1.3799972534,-106.4400024414,0.0200284328,23.5799999237,-108.4199981689,443.2799987793
1458,301770672481953,0.0024349093,0.0015876442,0.0003726287,-0.0335198492,0.1963305324,9.9003267288,45.8399963379,-1.0800018311,-106.3200073242,0.0200284664,23.5799999237,-108.4199981689,443.2799987793
1459,301770692510419,0.0006023136,-0.0008558258,-0.0008491026,-0.0335198492,0.1963305324,9.9003267288,45.3599929810,-0.3000030518,-105.6000061035,0.0200284664,23.5799999237,-108.4199981689,443.2799987793
1460,301770712538885,-0.0006194171,-0.0032992810,-0.0014599673,-0.0718282461,0.2011190802,9.8787775040,45.1199951172,-0.4799957275,-105.8399963379,0.0200284664,23.5799999237,-108.4199981689,443.2799987793
1461,301770732567318,0.0012131785,-0.0020775497,-0.0008491026,-0.0407026708,0.1867534369,9.8739891052,45.1199951172,-0.4799957275,-105.8399963379,0.0200284328,23.5799999237,-108.4199981689,443.2799987793
1462,301770752595751,-0.0006194171,-0.0002449527,-0.0008491026,-0.0215484723,0.1771763414,9.8787775040,45.1800003052,-0.0599975586,-105.4200134277,0.0200284328,23.5799999237,-108.4199981689,443.2799987793
